n_qubits,gs_sparsity,ham_sparsity,overlap,actual_overlap,Q_frac,Q_int,epsilon,seed,dim,gs_support_size,ham_nnz,gap,true_ground_energy,krab_final_energy,krab_rel_error_final,krab_final_subspace,krab_iterations_run,krab_max_iterations,krab_native_converged,krab_iter_to_target,krab_subspace_at_target,krab_n_states_to_target,krab_walltime_s,skqd_best_t,skqd_best_n_states_to_target,skqd_any_converged,skqd_best_final_energy,skqd_walltime_s,rand_median_n_states_to_target,rand_min_n_states_to_target,n_random_paths,krab_beats_skqd,advantage_ratio
10,0.25,0.1,0.1,0.01732704031205277,0.05,51,1e-05,42,1024,257,108198,1.0,-5.00000000000006,-3.499981383964329,0.3000037232071427,2,60,60,False,nan,nan,nan,0.2390483971685171,0.1,323,True,-5.000000000000075,450.5506620579399,1021.0,1012,20,False,0.0
10,0.1,0.25,0.1,0.05606159822354621,0.05,51,1e-06,42,1024,103,264956,1.0,-5.0000000000000355,-5.0000000000000036,6.394884621840856e-15,103,5,60,True,3,103,98,0.0944143789820373,0.3,138,True,-5.000000000000026,460.35182167217135,1017.5,981,20,True,1.4081632653061225
10,0.1,0.25,0.5,0.05606159822354621,0.1,102,1e-07,42,1024,103,264956,1.0,-4.9999999999999725,-5.00000000000001,7.460698725481093e-15,103,4,30,True,2,152,100,0.12855377793312073,0.1,132,True,-5.00000000000004,454.91145310993306,1011.5,991,20,True,1.32
10,0.1,0.5,0.3,0.05606159822354621,0.1,102,1e-05,42,1024,103,526398,1.0,-5.000000000000002,-5.000000000000003,1.7763568394002498e-16,103,4,30,True,2,139,101,0.14741283608600497,0.3,134,True,-5.000000000000027,482.7033525528386,1014.5,985,20,True,1.3267326732673268
10,0.1,0.5,0.5,0.05606159822354621,0.05,51,1e-07,42,1024,103,526398,1.0,-4.999999999999977,-4.999999999999993,3.1974423109204655e-15,103,4,60,True,3,138,96,0.13034663791768253,0.3,129,True,-5.000000000000028,489.6704069899861,1018.0,986,20,True,1.34375
10,0.1,0.25,0.8,0.05606159822354621,0.1,102,1e-06,42,1024,103,264956,1.0,-5.000000000000012,-4.999999999999999,2.664535259100369e-15,103,4,30,True,3,192,94,0.09680111985653639,1.0,129,True,-5.0000000000000435,451.8201943191234,1017.5,991,20,True,1.372340425531915
10,0.25,0.1,0.1,0.01732704031205277,0.05,51,1e-07,42,1024,257,108198,1.0,-5.00000000000002,-3.8529557519771123,0.2294088496045807,90,60,60,False,nan,nan,nan,0.70568005903624,0.9,341,True,-5.000000000000077,486.48249164712615,1018.5,996,20,False,0.0
10,0.25,0.1,0.1,0.01732704031205277,0.05,51,1e-06,42,1024,257,108198,1.0,-4.9999999999999485,-3.5103544564218976,0.29792910871561323,25,60,60,False,nan,nan,nan,0.3489847001619637,1.0,320,True,-5.000000000000044,461.78861248586327,1017.5,997,20,False,0.0
10,0.25,0.1,0.1,0.01732704031205277,0.1,102,1e-07,42,1024,257,108198,1.0,-5.00000000000002,-4.999999999999993,5.506706202140754e-15,257,11,30,True,9,325,246,0.8038931621704251,0.3,338,True,-5.00000000000006,506.6574811579194,1018.0,984,20,True,1.3739837398373984
10,0.1,0.25,0.8,0.05606159822354621,0.1,102,1e-07,42,1024,103,264956,1.0,-4.999999999999991,-5.00000000000001,3.7303493627405324e-15,103,4,30,True,2,152,100,0.1225108380895108,0.2,132,True,-5.00000000000004,461.2255189421121,1010.5,965,20,True,1.32
